NV00001,Phan Thi Diem My,20-10-1992,17-02-2016,0984561231,81 Bui Ta Han,0,12,3,15000000
NV00002,Ho Thanh Hai,11-02-1994,17-02-2017,0983561231,50 Hung Vuong,0,24,2,10000000
NV00003,Nguyen Thi Anh,20-08-1987,17-02-2014,0982561231,20 Nguyen Hue,0,36,4,20000000
NV00004,Tran Van Tu,12-11-1998,17-02-2020,0981561231,144/12 Le Duan,0,12,1,8000000
NV00005,Le Thanh Son,18-06-1993,17-02-2018,0980561231,12 Hoa Xuan,0,12,2,11000000
TR00001,Hoang Thi Anh Van,22-02-1994,17-02-2020,0979561231,2 Nguyen Khuyen,1,6,300000,18
TR00002,Le Van Nam,22-12-1992,11-08-2020,0978561231,356 Ton Duc Thang,1,3,240000,20
TR00003,Ho Thi Nguyet,23-01-1994,15-09-2020,0977561231,104 Dien Bien Phu,1,6,280000,16
TR00004,Luu Van Manh,12-02-1996,10-07-2020,0976561231,29 Nguyen Tri Phuong,1,3,300000,12
TR00005,Tran Huy Quang,27-05-1998,08-02-2021,0975561231,16 Nguyen Khuyen,1,6,240000,15
